id,code,reconcile,type,parent_id:id,user_type:id,name,chart_template_id:id
chart_sicepat_root,0,FALSE,view,,l10n_id_sicepat.user_type_view,Sicepat Ekspres,l10n_id_sicepat.chart_sicepat
chart_100000000,100.000.000,FALSE,view,chart_sicepat_root,l10n_id_sicepat.user_type_current_asset,Aset,l10n_id_sicepat.chart_sicepat
chart_110000000,110.000.000,FALSE,view,chart_100000000,l10n_id_sicepat.user_type_current_asset,Aset Lancar,l10n_id_sicepat.chart_sicepat
chart_111000000,111.000.000,FALSE,view,chart_110000000,l10n_id_sicepat.user_type_cash_bank,Kas dan Bank,l10n_id_sicepat.chart_sicepat
chart_111001000,111.001.000,FALSE,view,chart_111000000,account.data_account_type_cash,Kas,l10n_id_sicepat.chart_sicepat
chart_111001001,111.001.001,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Pusat,l10n_id_sicepat.chart_sicepat
chart_111001002,111.001.002,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Bandung (BDO),l10n_id_sicepat.chart_sicepat
chart_111001003,111.001.003,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Bekasi (BKI),l10n_id_sicepat.chart_sicepat
chart_111001004,111.001.004,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Bogor (BOO),l10n_id_sicepat.chart_sicepat
chart_111001005,111.001.005,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Purwokerto (PWT),l10n_id_sicepat.chart_sicepat
chart_111001006,111.001.006,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Semarang (SRG),l10n_id_sicepat.chart_sicepat
chart_111001007,111.001.007,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Banjarmasin (BDJ),l10n_id_sicepat.chart_sicepat
chart_111001008,111.001.008,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Bengkulu (BKS),l10n_id_sicepat.chart_sicepat
chart_111001009,111.001.009,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Balikpapan (BPN),l10n_id_sicepat.chart_sicepat
chart_111001010,111.001.010,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Jambi (DJB),l10n_id_sicepat.chart_sicepat
chart_111001011,111.001.011,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Denpasar (DPS),l10n_id_sicepat.chart_sicepat
chart_111001012,111.001.012,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Pekanbaru (PKU),l10n_id_sicepat.chart_sicepat
chart_111001013,111.001.013,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Palembang (PLM),l10n_id_sicepat.chart_sicepat
chart_111001014,111.001.014,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Surabaya (SUB),l10n_id_sicepat.chart_sicepat
chart_111001015,111.001.015,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Samarinda (SRI),l10n_id_sicepat.chart_sicepat
chart_111001016,111.001.016,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Ujung Padang (UPG),l10n_id_sicepat.chart_sicepat
chart_111001017,111.001.017,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Medan (MES),l10n_id_sicepat.chart_sicepat
chart_111001018,111.001.018,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Malang (MLG),l10n_id_sicepat.chart_sicepat
chart_111001019,111.001.019,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Lampung TKG/LPG,l10n_id_sicepat.chart_sicepat
chart_111001020,111.001.020,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Lautze ,l10n_id_sicepat.chart_sicepat
chart_111001021,111.001.021,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Depok (DPK),l10n_id_sicepat.chart_sicepat
chart_111001022,111.001.022,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Sukabumi (SMI),l10n_id_sicepat.chart_sicepat
chart_111001023,111.001.023,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Tanjung Pinang (TNJ),l10n_id_sicepat.chart_sicepat
chart_111001024,111.001.024,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Jogja (JOG),l10n_id_sicepat.chart_sicepat
chart_111001025,111.001.025,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Serang (CLG),l10n_id_sicepat.chart_sicepat
chart_111001026,111.001.026,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Gading Serpong (GS),l10n_id_sicepat.chart_sicepat
chart_111001027,111.001.027,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Manado (MDC),l10n_id_sicepat.chart_sicepat
chart_111001028,111.001.028,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Solo,l10n_id_sicepat.chart_sicepat
chart_111001029,111.001.029,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Garut (GRT),l10n_id_sicepat.chart_sicepat
chart_111001030,111.001.030,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Jakarta Barat,l10n_id_sicepat.chart_sicepat
chart_111001031,111.001.031,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Pemalang (PML),l10n_id_sicepat.chart_sicepat
chart_111001032,111.001.032,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Palu (PLW),l10n_id_sicepat.chart_sicepat
chart_111001033,111.001.033,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Palangkaraya (PKY),l10n_id_sicepat.chart_sicepat
chart_111001034,111.001.034,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Tasikmalaya (TSI),l10n_id_sicepat.chart_sicepat
chart_111001035,111.001.035,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Jakarta Timur (JAKTIM),l10n_id_sicepat.chart_sicepat
chart_111001036,111.001.036,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Ternate (TTE),l10n_id_sicepat.chart_sicepat
chart_111001037,111.001.037,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Purwakarta (PWA),l10n_id_sicepat.chart_sicepat
chart_111001038,111.001.038,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Cikarang (CKR),l10n_id_sicepat.chart_sicepat
chart_111001039,111.001.039,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Ciamis,l10n_id_sicepat.chart_sicepat
chart_111001040,111.001.040,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Jakarta Selatan (JAKSEL),l10n_id_sicepat.chart_sicepat
chart_111001041,111.001.041,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Banyuwangi (BWI),l10n_id_sicepat.chart_sicepat
chart_111001042,111.001.042,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Jember (JBR),l10n_id_sicepat.chart_sicepat
chart_111001043,111.001.043,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Kediri (KDR),l10n_id_sicepat.chart_sicepat
chart_111001044,111.001.044,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Sumedang (SMD),l10n_id_sicepat.chart_sicepat
chart_111001045,111.001.045,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Batam (BTH),l10n_id_sicepat.chart_sicepat
chart_111001046,111.001.046,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Blora (BLA),l10n_id_sicepat.chart_sicepat
chart_111001047,111.001.047,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Bandung Timur (BDT),l10n_id_sicepat.chart_sicepat
chart_111001048,111.001.048,FALSE,liquidity,chart_111001000,account.data_account_type_cash,Kas Ambon,l10n_id_sicepat.chart_sicepat
